index,y,x,rightdis,leftdis,topdis,bottomdis,average4,averagecol,averagerow,pred
0,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
3,315.25,246.25,24.020824298928627,23.0,24.020824298928627,23.0,23.510412149464315,23.510412149464315,23.510412149464315,1
4,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
5,315.25,246.5,24.0,23.0,23.021728866442675,23.0,23.255432216610668,23.010864433221336,23.5,1
6,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
7,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
8,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
9,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
10,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
11,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
13,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
14,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
16,315.25,246.5,24.0,23.0,23.021728866442675,23.0,23.255432216610668,23.010864433221336,23.5,1
17,315.25,246.25,24.020824298928627,23.0,24.020824298928627,23.0,23.510412149464315,23.510412149464315,23.510412149464315,1
18,315.25,246.25,24.020824298928627,23.0,24.020824298928627,23.0,23.510412149464315,23.510412149464315,23.510412149464315,1
19,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
20,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
23,315.25,246.5,24.0,23.0,23.021728866442675,23.0,23.255432216610668,23.010864433221336,23.5,1
24,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
25,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
26,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
28,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
30,315.25,246.25,24.020824298928627,23.0,24.020824298928627,23.0,23.510412149464315,23.510412149464315,23.510412149464315,1
31,315.25,246.25,24.020824298928627,23.0,24.020824298928627,23.0,23.510412149464315,23.510412149464315,23.510412149464315,1
32,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
33,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
34,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
35,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
36,315.25,246.5,24.0,23.0,23.021728866442675,23.0,23.255432216610668,23.010864433221336,23.5,1
37,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
38,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
39,315.25,246.25,24.020824298928627,23.0,24.020824298928627,23.0,23.510412149464315,23.510412149464315,23.510412149464315,1
41,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
43,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
45,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
47,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
48,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
49,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
51,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
52,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
